"Marca temporal"                  ,"¿Qué edad tienes?" ,"Provincia de Residencia" ,"En caso de residir en la Habana, ¿puede especificar el municipio?" ,"Creencia religiosa"       ,"¿Qué situación te describe mejor?" ,"Orientación sexual" ,"Sexo asignado al nacer:" ,"Identidad de género:"                            ,"Nivel Académico"                      ,"A tu opinión, ¿qué tan generalizado está el lenguaje ofensivo hacia personas de la comunidad LGBTIQ+?" ,"¿Qué tan frecuente se ven parejas del mismo sexo caminando de la mano en público?" ,"¿Qué tan frecuente se ven parejas heterosexuales caminando de la mano en público?" ,"¿Es necesaria la capacitación de funcionarios públicos (por ejemplo: policías, maestros, etc) sobre los derechos de las personas LGBTIQ+?" ,"¿Es necesario abordar temas sobre orientación sexual e identidad de género en la etapa escolar?" ,"¿Consideras que la comunidad LGBTIQ+ está sobre-sexualizada?" ,"Sobre su respuesta anterior, explique el porqué de su selección. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"¿Es necesario la celebración del Orgullo en Cuba?" ,"¿Los subgrupos L,G,B deberían ser separados de TQI+?" ,"Sobre su respuesta anterior, explique el porqué de su selección."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"¿Es difícil encontrar una pareja monógama en la comunidad LGBTIQ+?" ,"¿Ha sido víctima de agresión, en su sentido más general, por su orientación sexual/ identidad de género?" ,"En caso positivo de la pregunta anterior, ¿podría especificar en que contexto?"                     ,"¿Te harían sentir cómodo políticas antidiscriminatorias referidas a la orientación sexual/identidad de género en el lugar de trabajo?" ,"¿Vives abiertamente tu orientación sexual/identidad de género?" ,"¿Los shows de Drag son aptos para toda la población (menores incluidos)?" ,"¿Qué tan representativas son las redes sociales y app de citas, en tu vida sentimental y sexual?" ,"¿Qué tan desagradable calificaría su experiencia en Apps de citas? en una escala del 1 al 10." ,"¿Por qué?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"En lo correspondiente a su orientación sexual/ identidad de género, ¿qué tan satisfecho se encuentra con su vida? en una escala del 1 al 10." ,""
"2024/03/09 12:09:01 a. m. GMT-4" ,"25"                ,"Artemisa"                ,""                                                                  ,"Ateísmo"                  ,"No estoy en una relación."         ,"Homosexual."        ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(4) Muy Generalizado"                                                                                  ,"(4) Rara vez"                                                                      ,"(2) Muy frecuentemente"                                                            ,"De acuerdo."                                                                                                                               ,"Sí, en la educación primaria."                                                                   ,"Sí, totalmente de acuerdo."                                   ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Es difícil, pero no imposible."                                     ,"Si, agresión verbal.;Sí, agresión física.;Sí, agresión simbólica."                                        ,"Contexto académico."                                                                                ,"No tengo una opinión formada."                                                                                                         ,"Selectivamente abierta."                                        ,"En desacuerdo."                                                           ,"La mayoría de mis relaciones/encuentros las he conocido online."                                  ,"3"                                                                                             ,"mucha gente poco educada"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"5"                                                                                                                                            ,""
"2024/03/09 12:36:20 a. m. GMT-4" ,"26"                ,"La Habana"               ,"Habana Vieja"                                                      ,"Evangélismo"              ,"No estoy en una relación."         ,"Sin definir."       ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(4) Muy Generalizado"                                                                                  ,"(3) A veces"                                                                       ,"(2) Muy frecuentemente"                                                            ,"De acuerdo."                                                                                                                               ,"Sí, en la educación media-superior y técnica."                                                   ,"Sí, totalmente de acuerdo."                                   ,"Algo q se ve muy comúnmente todo el mundo se conoce han estado juntos y nadie quiere lo q sería algo duradero sin hacer plan "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"No tengo una opinión formada."                     ,"No tiene sentido tal separación."                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Es difícil, pero no imposible."                                     ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"No tengo una opinión formada."                                                                                                         ,"Secretamente."                                                  ,"En desacuerdo."                                                           ,"Algunas de mis relaciones/encuentros las he conocido online"                                      ,"5"                                                                                             ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"2"                                                                                                                                            ,""
"2024/03/09 12:41:47 a. m. GMT-4" ,"22"                ,"La Habana"               ,"Diez de Octubre"                                                   ,"Agnósticismo"             ,"No estoy en una relación."         ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(2) Poco generalizado"                                                                                 ,"(3) A veces"                                                                       ,"(1) Todo el tiempo"                                                                ,"Esta bien actualmente."                                                                                                                    ,"Sí, en la educación primaria."                                                                   ,"Sí, totalmente de acuerdo."                                   ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"No tiene sentido tal separación."                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Es bastante sencillo."                                              ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Muy de acuerdo."                                                                                                                       ,"Abiertamente, sin filtros"                                      ,"En desacuerdo."                                                           ,"Algunas de mis relaciones/encuentros las he conocido online"                                      ,"10"                                                                                            ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 12:42:13 a. m. GMT-4" ,"21"                ,"La Habana"               ,"Cotorro"                                                           ,"Ateísmo"                  ,"En una relación sin vivir juntos"  ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(2) Poco generalizado"                                                                                 ,"(4) Rara vez"                                                                      ,"(2) Muy frecuentemente"                                                            ,"Esta bien actualmente."                                                                                                                    ,"No, lo considero apropiado."                                                                     ,"Sí, totalmente de acuerdo."                                   ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es necesario, pero no me molestaría."           ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Está bien actualmente."                                                                                                                ,"Abiertamente, sin filtros"                                      ,"Muy en desacuerdo."                                                       ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 12:54:00 a. m. GMT-4" ,"21"                ,"La Habana"               ,"Marianao"                                                          ,"Ateísmo"                  ,"No estoy en una relación."         ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(3) Generalizado"                                                                                      ,"(4) Rara vez"                                                                      ,"(1) Todo el tiempo"                                                                ,"De acuerdo."                                                                                                                               ,"Sí, en la educación secundaria."                                                                 ,"No tengo una opinión formada."                                ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es necesario, pero no me molestaría."           ,"No tiene sentido tal separación."                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No es tan dificil, solo hay que buscar en el lugar correcto."       ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"De acuerdo."                                                                                                                           ,"Abiertamente, sin filtros"                                      ,"No tengo una opinión formada."                                            ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 12:54:15 a. m. GMT-4" ,"20"                ,"Pinar del Río"           ,""                                                                  ,"Ateísmo"                  ,"Viviendo con pareja/cónyuge."      ,"Heterosexual."      ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Medio-Superior (Preuniversitario)"    ,"(2) Poco generalizado"                                                                                 ,"(4) Rara vez"                                                                      ,"(2) Muy frecuentemente"                                                            ,"No tengo una opinión formada."                                                                                                             ,"No tengo una opinión formada."                                                                   ,"Tal vez."                                                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No tengo una opinión formada."                     ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No es tan dificil, solo hay que buscar en el lugar correcto."       ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"De acuerdo."                                                                                                                           ,"Abiertamente, sin filtros"                                      ,"No tengo una opinión formada."                                            ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 12:58:07 a. m. GMT-4" ,"24"                ,"La Habana"               ,"Plaza de La Revolución"                                            ,"Otra"                     ,"En una relación sin vivir juntos"  ,"Homosexual."        ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(4) Muy Generalizado"                                                                                  ,"(4) Rara vez"                                                                      ,"(1) Todo el tiempo"                                                                ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación secundaria."                                                                 ,"Sí, totalmente de acuerdo."                                   ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"No tiene sentido tal separación."                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No es tan dificil, solo hay que buscar en el lugar correcto."       ,"Si, agresión verbal.;Sí, agresión simbólica."                                                             ,"Contexto académico.;Contexto laboral.;Amigos y relaciones.;En un lugar público."                    ,"Muy de acuerdo."                                                                                                                       ,"Abiertamente, sin filtros"                                      ,"De acuerdo."                                                              ,"No uso las redes en tal sentido."                                                                 ,"3"                                                                                             ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 1:14:23 a. m. GMT-4"  ,"24"                ,"Matanzas"                ,"Cerro"                                                             ,"Agnósticismo"             ,"Viviendo con pareja/cónyuge."      ,"Heterosexual."      ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(1) Nada generalizado"                                                                                 ,"(1) Todo el tiempo"                                                                ,"(1) Todo el tiempo"                                                                ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación primaria."                                                                   ,"Sí, totalmente de acuerdo."                                   ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"Si, deberían ser separados."                          ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Es difícil, pero no imposible."                                     ,"Si, agresión verbal.;Sí, agresión física.;Sí, agresión simbólica."                                        ,"Contexto académico.;Amigos y relaciones.;En un lugar público."                                      ,"Muy de acuerdo."                                                                                                                       ,"Abiertamente, sin filtros"                                      ,"Muy de acuerdo."                                                          ,"La mayoría de mis relaciones/encuentros las he conocido online."                                  ,"1"                                                                                             ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"1"                                                                                                                                            ,""
"2024/03/09 1:24:01 a. m. GMT-4"  ,"21"                ,"La Habana"               ,"Playa"                                                             ,"Ateísmo"                  ,"No estoy en una relación."         ,"Sin definir."       ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Medio-Superior (Preuniversitario)"    ,"(0) Desconozco"                                                                                        ,"(4) Rara vez"                                                                      ,"(2) Muy frecuentemente"                                                            ,"Esta bien actualmente."                                                                                                                    ,"No tengo una opinión formada."                                                                   ,"Tal vez."                                                     ,"Bo conozco a nadie cercano perteneciente a la comunidad, pero las personas en general se comportan como lo ""usual"". Es más bien en las redes quizás donde pareciera que hay más interés en el sexo de parte de la comunidad. Quizás tenga esa impresión porque las personas que sigo que hablan sobre los temas sexo y género no son exactamente heteronormativas"                                                                                                                                                                                                                                                                                                        ,"No es necesario, pero no me molestaría."           ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"No tengo una opinión formada."                                                                                                         ,"Selectivamente abierta."                                        ,"Muy de acuerdo."                                                          ,"No suelo quedar con personas que conozco online."                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"5"                                                                                                                                            ,""
"2024/03/09 1:24:15 a. m. GMT-4"  ,"21"                ,"La Habana"               ,"Guanabacoa"                                                        ,"Otra"                     ,"No estoy en una relación."         ,"Heterosexual."      ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(3) Generalizado"                                                                                      ,"(4) Rara vez"                                                                      ,"(1) Todo el tiempo"                                                                ,"De acuerdo."                                                                                                                               ,"Sí, en la educación secundaria."                                                                 ,"Tal vez."                                                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"No tiene sentido tal separación."                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Es bastante sencillo."                                              ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"De acuerdo."                                                                                                                           ,"Abiertamente, sin filtros"                                      ,"De acuerdo."                                                              ,"Algunas de mis relaciones/encuentros las he conocido online"                                      ,"2"                                                                                             ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"9"                                                                                                                                            ,""
